Título,Autor,F/M,Editora,Data de publicação,Categoria,Idioma,Numero de páginas,Nacionalidade,Gênero,GPS
Assassinato no campo de golfe,Agatha Christie,F,Globo Livros,1923,Romance,Português,293,Inglaterra,Mistério,SP
O mistério do trem azul,Agatha Christie,F,L&PM Pocket,1928,Romance,Português,272,Inglaterra,Mistério,BA
Os 13 problemas,Agatha Christie,F,L&PM Pocket,1932,Romance,Português,256,Inglaterra,Mistério,BA
Tragédia em três atos,Agatha Christie,F,L&PM Pocket,1935,Romance,Português,254,Inglaterra,Mistério,SP
Morte nas nuvens,Agatha Christie,F,L&PM Pocket,1935,Romance,Português,272,Inglaterra,Mistério,BA
Os crimes ABC,Agatha Christie,F,L&PM Pocket,1936,Romance,Português,248,Inglaterra,Mistério,SP
Morte na Mesopotâmia,Agatha Christie,F,L&PM Pocket,1936,Romance,Português,288,Inglaterra,Mistério,BA
Encontro com a morte,Agatha Christie,F,L&PM Pocket,1938,Romance,Português,240,Inglaterra,Mistério,BA
E não sobrou nenhum,Agatha Christie,F,Globo Livros,1939,Romance,Português,399,Inglaterra,Mistério,SP
Cipreste triste,Agatha Christie,F,L&PM Pocket,1940,Romance,Português,270,Inglaterra,Mistério,SP
M ou N?,Agatha Christie,F,L&PM Pocket,1941,Romance,Português,224,Inglaterra,Mistério,BA
Os trabalhos de Hércules,Agatha Christie,F,L&PM Pocket,1947,Romance,Português,288,Inglaterra,Mistério,BA
Aventura em Bagdá,Agatha Christie,F,L&PM Pocket,1951,Romance,Português,284,Inglaterra,Mistério,SP
A morte da Sra. Mcginty,Agatha Christie,F,L&PM Pocket,1952,Romance,Português,262,Inglaterra,Mistério,SP
A maldição do espelho,Agatha Christie,F,L&PM Pocket,1952,Romance,Português,272,Inglaterra,Mistério,BA
Depois do funeral,Agatha Christie,F,L&PM Pocket,1953,Romance,Português,288,Inglaterra,Mistério,BA
A extravagância do morto,Agatha Christie,F,L&PM Pocket,1956,Romance,Português,223,Inglaterra,Mistério,SP
Aventura do pudim de natal,Agatha Christie,F,L&PM Pocket,1960,Romance,Português,272,Inglaterra,Mistério,BA
Admirivel mundo novo,Aldous Huxley,M,Biblioteca Azul,1932,Romance,Português,306,Inglaterra,Ficção científica,SP
As portas da percepção,Aldous Huxley,M,Biblioteca Azul,1954,Antropologia,Português,160,Inglaterra,Ensaio,BA
Artemis,Andy Weir,M,Arqueiro,2017,Romance moderno,Português,296,Estados Unidos,Ficção científica,SP
O diário de Anne Frank,Anne Frank,F,Camelot,1947,Antropologia,Português,192,Alemanha,Diarios,BA
Entrevista com o vampiro,Anne Rice,F,Rocco,1979,"Vampiro/Lobisomen, Romance",Português,317,Estados Unidos,Terror gótico,SP
O vampiro Lestat,Anne Rice,F,Rocco,1985,"Vampiro/Lobisomen, Romance",Português,573,Estados Unidos,Terror gótico,SP
A rainha dos condenados,Anne Rice,F,Rocco,1988,"Vampiro/Lobisomen, Romance",Português,495,Estados Unidos,Terror gótico,SP
A dádiva do lobo,Anne Rice,F,Rocco,2012,Vampiro/Lobisomen,Português,477,Estados Unidos,Terror gótico,SP
Os lobos da invernia,Anne Rice,F,Rocco,2013,Vampiro/Lobisomen,Português,431,Estados Unidos,Terror gótico,SP
O pequeno principe,Antonie de Saint-Exupéry,M,Catapulta Junior,1943,Contos e crônicas,Espanhol,95,França,Fábula,SP
Bruxa natural guia completo,Arin Murphy-Hiscock,F,Darkside,2017,Bruxas,Português,253,Canadá,Cultura,SP
As aventuras de Sherlock Holmes,Arthur Conan Doyle,M,Principis,2019,Romance,Português,208,Reino Unido,Mistério,BA
A arte de ter razão,Arthur Schopenhauer,M,Vozes de Bolso,1831,Filosofia,Português,59,Alemanha,Não ficção,SP
Sobre o sofrimento do mundo ,Arthur Schopenhauer,M,L&PM Pocket,2019,Filosofia,Português,230,Alemanha,Não ficção,SP
Drácula,Bram Stoker,M,Darkside,1987,"Vampiro/Lobisomen, Romance",Português,559,Irlanda,Terror gótico,SP
Cartas de um diabo a seu aprendiz,C. S. Lewis,M,Thomas Nelson Brasil,1942,Antropologia,Português,208,Irlanda,Ensaio,BA
Manual prático da wicca,Cassandra Eason,F,Darkside,2017,Bruxas,Português,124,Inglaterra,Cultura,SP
Você fica tão sozinho as vezes que até faz sentido,Charles Bukowski,M,L&PM Pocket,1986,Contos e crônicas,Português,316,Alemanha,Poesia,SP
Sobre gatos,Charles Bukowski,M,L&PM Editores,2015,Contos e crônicas,Português,127,Alemanha,Poesia,SP
